城市,公交名,首末班车时间,起始站,起始站经度,起始站纬度,终点站,终点站经度,终点站纬度,站点名,最高价,英文名,站数,经度,纬度,性质,线路ID,区号,区县编码,站点ID,总站数,发车间隔,线路总长度,基础价格,站点状态,ICCARD
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,土桥,5,tu qiao,1,116.686349,39.871926,地铁,110100033087,010,110112,110100033087002,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,临河里,5,lin he li,2,116.678811,39.875496,地铁,110100033087,010,110112,110100033087003,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,梨园,5,li yuan,3,116.66872,39.883677,地铁,110100033087,010,110112,110100033087004,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,九棵树,5,jiu ke shu,4,116.657533,39.890278,地铁,110100033087,010,110112,110100033087005,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,果园,5,guo yuan,5,116.646606,39.893393,地铁,110100033087,010,110112,110100033087006,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,通州北苑,5,tong zhou bei yuan,6,116.637252,39.903864,地铁,110100033087,010,110112,110100033087007,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,八里桥,5,ba li qiao,7,116.618658,39.906121,地铁,110100033087,010,110105,110100033087008,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,管庄,5,guan zhuang,8,116.599002,39.90909,地铁,110100033087,010,110105,110100033087009,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,双桥,5,shuang qiao,9,116.57676,39.91014,地铁,110100033087,010,110105,110100033087010,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,传媒大学,5,chuan mei da xue,10,116.554639,39.909215,地铁,110100033087,010,110105,110100033087011,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,高碑店,5,gao bei dian,11,116.531421,39.909448,地铁,110100033087,010,110105,110100033087012,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,四惠东,5,si hui dong,12,116.515664,39.908495,地铁,110100033087,010,110105,110100033087013,13,10分钟,18.04022,3,1,1
北京,地铁八通线,,土桥,116.686349,39.871926,四惠,116.495456,39.908749,四惠,5,si hui,13,116.495456,39.908749,地铁,110100033087,010,110105,110100033087014,13,10分钟,18.04022,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,西二旗,6,xi er qi,1,116.306121,40.052978,地铁,110100023119,010,110108,110100023119002,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,生命科学园,6,sheng ming ke xue yuan,2,116.29423,40.09479,地铁,110100023119,010,110114,110100023119003,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,朱辛庄,6,zhu xin zhuang,3,116.313698,40.104297,地铁,110100023119,010,110114,110100023119004,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,巩华城,6,gong hua cheng,4,116.293979,40.1309,地铁,110100023119,010,110114,110100023119005,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,沙河,6,sha he,5,116.288865,40.148278,地铁,110100023119,010,110114,110100023119006,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,沙河高教园,6,sha he gao jiao yuan,6,116.280465,40.164666,地铁,110100023119,010,110114,110100023119007,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,南邵,6,nan shao,7,116.287534,40.207484,地铁,110100023119,010,110114,110100023119008,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,北邵洼,6,bei shao wa,8,116.281949,40.222001,地铁,110100023119,010,110114,110100023119009,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,昌平东关,6,chang ping dong guan,9,116.262059,40.221726,地铁,110100023119,010,110114,110100023119010,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,昌平,6,chang ping,10,116.233601,40.22055,地铁,110100023119,010,110114,110100023119011,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,十三陵景区,6,shi san ling jing qu,11,116.207637,40.240214,地铁,110100023119,010,110114,110100023119012,12,10分钟,31.81662,3,1,1
北京,地铁昌平线,,西二旗,116.306121,40.052978,昌平西山口,116.195369,40.244629,昌平西山口,6,chang ping xi shan kou,12,116.195369,40.244629,地铁,110100023119,010,110114,110100023119013,12,10分钟,31.81662,3,1,1
北京,地铁房山线,,郭公庄,116.301889,39.814322,丰益桥南,116.321374,39.852401,郭公庄,,guo gong zhuang,1,116.301889,39.814322,地铁,900000042920,010,110106,900000042920001,5,10分钟,5.59275,,3,0
北京,地铁房山线,,郭公庄,116.301889,39.814322,丰益桥南,116.321374,39.852401,樊羊路,,fan yang lu,2,116.314319,39.81955,地铁,900000042920,010,110106,900000042920002,5,10分钟,5.59275,,3,0
北京,地铁房山线,,郭公庄,116.301889,39.814322,丰益桥南,116.321374,39.852401,四环路,,si huan lu,3,116.320472,39.829174,地铁,900000042920,010,110106,900000042920003,5,10分钟,5.59275,,3,0
北京,地铁房山线,,郭公庄,116.301889,39.814322,丰益桥南,116.321374,39.852401,首经贸,,shou jing mao,4,116.320127,39.844186,地铁,900000042920,010,110106,900000042920004,5,10分钟,5.59275,,3,0
北京,地铁房山线,,郭公庄,116.301889,39.814322,丰益桥南,116.321374,39.852401,丰益桥南,,feng yi qiao nan,5,116.321374,39.852401,地铁,900000042920,010,110106,900000042920005,5,10分钟,5.59275,,3,0
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,宋家庄,6,song jia zhuang,1,116.428379,39.844991,地铁,110100023103,010,110106,110100023103002,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,肖村,6,xiao cun,2,116.448377,39.834222,地铁,110100023103,010,110105,110100023103003,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,小红门,6,xiao hong men,3,116.459226,39.827951,地铁,110100023103,010,110105,110100023103004,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,旧宫,6,jiu gong,4,116.460789,39.80691,地铁,110100023103,010,110115,110100023103005,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,亦庄桥,6,yi zhuang qiao,5,116.480307,39.803011,地铁,110100023103,010,110115,110100023103006,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,亦庄文化园,6,yi zhuang wen hua yuan,6,116.490632,39.80689,地铁,110100023103,010,110115,110100023103007,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,万源街,6,wan yuan jie,7,116.505446,39.802921,地铁,110100023103,010,110115,110100023103008,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,荣京东街,6,rong jing dong jie,8,116.51339,39.793132,地铁,110100023103,010,110115,110100023103009,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,荣昌东街,6,rong chang dong jie,9,116.521737,39.782799,地铁,110100023103,010,110115,110100023103010,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,同济南路,6,tong ji nan lu,10,116.539835,39.7729,地铁,110100023103,010,110115,110100023103011,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,经海路,6,jing hai lu,11,116.562245,39.783587,地铁,110100023103,010,110115,110100023103012,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,次渠南,6,ci qu nan,12,116.581357,39.795118,地铁,110100023103,010,110112,110100023103013,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,次渠,6,ci qu,13,116.591502,39.8035,地铁,110100023103,010,110112,110100023103014,14,10分钟,22.80492,3,1,1
北京,地铁亦庄线,06:00-23:20,宋家庄,116.428379,39.844991,亦庄火车站,116.601913,39.812607,亦庄火车站,6,yi zhuang huo che zhan,14,116.601913,39.812607,地铁,110100023103,010,110112,110100023103015,14,10分钟,22.80492,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,四惠东,6,si hui dong,1,116.515664,39.908495,地铁,110100023111,010,110105,110100023111002,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,四惠,6,si hui,2,116.495456,39.908749,地铁,110100023111,010,110105,110100023111003,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,大望路,6,da wang lu,3,116.475783,39.908287,地铁,110100023111,010,110105,110100023111004,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,国贸,6,guo mao,4,116.459707,39.908421,地铁,110100023111,010,110105,110100023111005,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,永安里,6,yong an li,5,116.450497,39.908454,地铁,110100023111,010,110105,110100023111006,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,建国门,6,jian guo men,6,116.434914,39.9085,地铁,110100023111,010,110101,110100023111007,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,东单,6,dong dan,7,116.420327,39.908317,地铁,110100023111,010,110101,110100023111008,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,王府井,6,wang fu jing,8,116.411571,39.908069,地铁,110100023111,010,110101,110100023111009,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,天安门东,6,tian an men dong,9,116.401216,39.90778,地铁,110100023111,010,110101,110100023111010,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,天安门西,6,tian an men xi,10,116.391278,39.907472,地铁,110100023111,010,110102,110100023111011,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,西单,6,xi dan,11,116.376338,39.907193,地铁,110100023111,010,110102,110100023111012,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,复兴门,6,fu xing men,12,116.357793,39.907174,地铁,110100023111,010,110102,110100023111013,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,南礼士路,6,nan li shi lu,13,116.352583,39.907234,地铁,110100023111,010,110102,110100023111014,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,木樨地,6,mu xi di,14,116.337583,39.907379,地铁,110100023111,010,110102,110100023111015,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,军事博物馆,6,jun shi bo wu guan,15,116.323385,39.907422,地铁,110100023111,010,110108,110100023111016,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,公主坟,6,gong zhu fen,16,116.309919,39.907469,地铁,110100023111,010,110108,110100023111017,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,万寿路,6,wan shou lu,17,116.294765,39.907474,地铁,110100023111,010,110108,110100023111018,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,五棵松,6,wu ke song,18,116.273987,39.907456,地铁,110100023111,010,110108,110100023111019,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,玉泉路,6,yu quan lu,19,116.252888,39.907433,地铁,110100023111,010,110107,110100023111020,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,八宝山,6,ba bao shan,20,116.235948,39.90744,地铁,110100023111,010,110107,110100023111021,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,八角游乐园,6,ba jiao you le yuan,21,116.212684,39.907442,地铁,110100023111,010,110107,110100023111022,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,古城,6,gu cheng,22,116.190337,39.90745,地铁,110100023111,010,110107,110100023111023,23,10分钟,30.33837,3,1,1
北京,地铁1号线,,四惠东,116.515664,39.908495,苹果园,116.177388,39.926727,苹果园,6,ping guo yuan,23,116.177388,39.926727,地铁,110100023111,010,110107,110100023111024,23,10分钟,30.33837,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,西直门,4,xi zhi men,1,116.355426,39.940474,地铁,110100023099,010,110102,110100023099002,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,车公庄,4,che gong zhuang,2,116.355869,39.932614,地铁,110100023099,010,110102,110100023099003,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,阜成门,4,fu cheng men,3,116.356009,39.923686,地铁,110100023099,010,110102,110100023099004,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,复兴门,4,fu xing men,4,116.356866,39.907242,地铁,110100023099,010,110102,110100023099005,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,长椿街,4,chang chun jie,5,116.363355,39.899433,地铁,110100023099,010,110102,110100023099006,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,宣武门,4,xuan wu men,6,116.374314,39.899765,地铁,110100023099,010,110102,110100023099007,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,和平门,4,he ping men,7,116.384209,39.900098,地铁,110100023099,010,110102,110100023099008,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,前门,4,qian men,8,116.397937,39.900192,地铁,110100023099,010,110101,110100023099009,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,崇文门,4,chong wen men,9,116.417093,39.901063,地铁,110100023099,010,110101,110100023099010,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,北京站,4,bei jing zhan,10,116.427287,39.904983,地铁,110100023099,010,110101,110100023099011,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,建国门,4,jian guo men,11,116.435806,39.908501,地铁,110100023099,010,110105,110100023099012,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,朝阳门,4,zhao yang men,12,116.434584,39.924499,地铁,110100023099,010,110105,110100023099013,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,东四十条,4,dong si shi tiao,13,116.434133,39.933801,地铁,110100023099,010,110101,110100023099014,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,东直门,4,dong zhi men,14,116.433551,39.941088,地铁,110100023099,010,110101,110100023099015,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,雍和宫,4,yong he gong,15,116.417069,39.949336,地铁,110100023099,010,110101,110100023099016,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,安定门,4,an ding men,16,116.40824,39.94918,地铁,110100023099,010,110101,110100023099017,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,鼓楼大街,4,gu lou da jie,17,116.393776,39.948972,地铁,110100023099,010,110102,110100023099018,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,积水潭,4,ji shui tan,18,116.373126,39.948653,地铁,110100023099,010,110102,110100023099019,19,10分钟,23.24082,3,1,1
北京,地铁2号线,,西直门,116.355426,39.940474,西直门,116.355426,39.940474,西直门,4,xi zhi men,19,116.355426,39.940474,地铁,110100023099,010,110102,110100023099020,19,10分钟,23.24082,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,天宫院,7,tian gong yuan,1,116.319932,39.670342,地铁,110100023077,010,110115,110100023077026,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,生物医药基地,7,sheng wu yi yao ji di,2,116.321662,39.68651,地铁,110100023077,010,110115,110100023077027,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,义和庄,7,yi he zhuang,3,116.319079,39.712387,地铁,110100023077,010,110115,110100023077028,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,黄村火车站,7,huang cun huo che zhan,4,116.332611,39.722966,地铁,110100023077,010,110115,110100023077029,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,黄村西大街,7,huang cun xi da jie,5,116.332631,39.731769,地铁,110100023077,010,110115,110100023077030,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,清源路,7,qing yuan lu,6,116.332513,39.742724,地铁,110100023077,010,110115,110100023077031,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,枣园,7,zao yuan,7,116.332204,39.753458,地铁,110100023077,010,110115,110100023077032,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,高米店南,7,gao mi dian nan,8,116.331605,39.763489,地铁,110100023077,010,110115,110100023077033,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,高米店北,7,gao mi dian bei,9,116.330787,39.773547,地铁,110100023077,010,110115,110100023077034,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,西红门,7,xi hong men,10,116.328689,39.7898,地铁,110100023077,010,110115,110100023077035,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,新宫,7,xin gong,11,116.365549,39.812592,地铁,110100023077,010,110106,110100023077036,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,公益西桥,7,gong yi xi qiao,12,116.370796,39.836135,地铁,110100023077,010,110106,110100023077002,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,角门西,7,jiao men xi,13,116.371154,39.84585,地铁,110100023077,010,110106,110100023077003,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,马家堡,7,ma jia bao,14,116.371361,39.853109,地铁,110100023077,010,110106,110100023077004,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,北京南站,7,bei jing nan zhan,15,116.378963,39.865029,地铁,110100023077,010,110106,110100023077005,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,陶然亭,7,tao ran ting,16,116.374383,39.87847,地铁,110100023077,010,110102,110100023077006,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,菜市口,7,cai shi kou,17,116.374425,39.889296,地铁,110100023077,010,110102,110100023077007,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,宣武门,7,xuan wu men,18,116.374314,39.899765,地铁,110100023077,010,110102,110100023077008,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,西单,7,xi dan,19,116.374072,39.907383,地铁,110100023077,010,110102,110100023077009,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,灵境胡同,7,ling jing hu tong,20,116.373746,39.915912,地铁,110100023077,010,110102,110100023077010,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,西四,7,xi si,21,116.373332,39.924206,地铁,110100023077,010,110102,110100023077011,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,平安里,7,ping an li,22,116.372883,39.933949,地铁,110100023077,010,110102,110100023077012,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,新街口,7,xin jie kou,23,116.367742,39.940667,地铁,110100023077,010,110102,110100023077013,35,,49.59223,3,1,1
北京,地铁4号线大兴线,,天宫院,116.319932,39.670342,安河桥北,116.269956,40.012195,西直门,7,xi zhi men,24,116.355426,39.940474,地铁,110100023077,010,110102,110100023077014,35,,49.59223,3,1,1
